Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.0972,376,1576.756,4.195,0.000315464
0.0974,395,1656.0376,4.195,0.000331405
0.0976,393.5,1649.7488,4.195,0.000330146
0.0978,386.5,1620.7877,4.195,0.000324274
0.098,371.5,1557.5138,4.195,0.000311688
0.0982,392.5,1645.9487,4.195,0.000329308
0.0984,394,1652.239,4.195,0.000330566
0.0986,395,1656.4325,4.195,0.000331405
0.0988,373.5,1565.8988,4.195,0.000313367
0.099,401.5,1683.2888,4.195,0.000336858
0.0992,403.5,1692.0773,4.195,0.000338537
0.0994,398,1669.2119,4.195,0.000333922
0.0996,380,1593.53,4.195,0.00031882
0.0998,390.5,1637.5618,4.195,0.00032763
0.1,396.5,1662.7228,4.195,0.000332663
0.1002,401,1681.5935,4.195,0.000336439
0.1004,378.5,1586.8613,4.195,0.000317561
0.1006,389,1631.2715,4.195,0.000326371
0.1008,398,1669.0131,4.195,0.000333922
0.101,397.5,1666.9163,4.195,0.000333502
0.1012,388,1627.078,4.195,0.000325532
0.1014,391.5,1641.7552,4.195,0.000328468
0.1016,407,1706.7545,4.195,0.000341473
0.1018,407.5,1708.8513,4.195,0.000341892
0.102,393,1648.0455,4.195,0.000329727
0.1022,378,1585.1431,4.195,0.000317142
0.1024,367,1539.0145,4.195,0.000307913
0.1026,366.5,1536.9177,4.195,0.000307494
0.1028,359.5,1507.2037,4.195,0.00030162
0.103,349,1463.5315,4.195,0.000292811
0.1032,365.5,1532.7242,4.195,0.000306655
0.1034,368,1542.8401,4.195,0.000308752
0.1036,363.5,1524.5189,4.195,0.000304977
0.1038,350,1467.375,4.195,0.00029365
0.104,378,1585.1431,4.195,0.000317142
0.1042,380,1593.72,4.195,0.00031882
0.1044,376.5,1578.8528,4.195,0.000315883
0.1046,359,1505.4666,4.195,0.000301201
0.1048,386,1618.691,4.195,0.000323854
0.105,449.5,1884.9783,4.195,0.000377131
0.1052,455.5,1910.1393,4.195,0.000382164
0.1054,456,1911.78,4.195,0.000382584
0.1056,498,2088.6118,4.195,0.000417822
0.1058,421.5,1767.5603,4.195,0.000353638
0.106,411,1724.145,4.195,0.000344829
0.1062,381,1597.3425,4.195,0.000319659
0.1064,394,1651.451,4.195,0.000330566
0.1066,451,1891.2686,4.195,0.000378389
0.1068,431.5,1809.7109,4.195,0.000362028
0.107,388,1626.6901,4.195,0.000325532
0.1072,388,1626.6901,4.195,0.000325532
0.1074,399,1673.2065,4.195,0.000334761
0.1076,416.5,1746.5928,4.195,0.000349444
0.1078,404.5,1696.2708,4.195,0.000339375
0.108,387.5,1624.5938,4.195,0.000325113
0.1082,420,1760.8501,4.195,0.00035238
0.1084,398.5,1670.3129,4.195,0.000334342
0.1086,406,1702.155,4.195,0.000340634
0.1088,405.5,1700.0588,4.195,0.000340215
0.109,420,1760.8501,4.195,0.00035238
0.1092,435.5,1825.8337,4.195,0.000365384
0.1094,409,1715.1415,4.195,0.000343151
0.1096,383,1606.3019,4.195,0.000321337
0.1098,405.5,1700.4642,4.195,0.000340215
0.11,396,1660.626,4.195,0.000332244
0.1102,393,1648.0455,4.195,0.000329727
0.1104,385.5,1616.2087,4.195,0.000323435
0.1106,412,1727.722,4.195,0.000345668
