Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.0968,365.5,1532.7242,4.195,0.000306655
0.097,375.5,1574.6593,4.195,0.000315044
0.0972,379.5,1591.4332,4.195,0.000318401
0.0974,388.5,1629.1748,4.195,0.000325952
0.0976,386,1618.691,4.195,0.000323854
0.0978,383.5,1608.2073,4.195,0.000321757
0.098,384.5,1612.4008,4.195,0.000322595
0.0982,378,1585.1431,4.195,0.000317142
0.0984,376.5,1578.4763,4.195,0.000315883
0.0986,400.5,1679.4968,4.195,0.00033602
0.0988,402,1685.385,4.195,0.000337278
0.099,387.5,1624.9813,4.195,0.000325112
0.0992,364.5,1528.5308,4.195,0.000305816
0.0994,395,1656.4325,4.195,0.000331405
0.0996,396,1660.626,4.195,0.000332244
0.0998,392,1643.8521,4.195,0.000328888
0.1,390.5,1637.1713,4.195,0.000327629
0.1002,415,1740.5099,4.195,0.000348185
0.1004,394.5,1654.3358,4.195,0.000330985
0.1006,371,1555.7886,4.195,0.000311269
0.1008,344.5,1444.8329,4.195,0.000289036
0.101,332.5,1394.3387,4.195,0.000278967
0.1012,314,1317.2301,4.195,0.000263446
0.1014,265.5,1113.507,4.195,0.000222754
0.1016,266.5,1117.5677,4.195,0.000223594
0.1018,312,1308.3721,4.195,0.000261768
0.102,319,1337.7266,4.195,0.000267641
0.1022,340.5,1428.0569,4.195,0.00028568
0.1024,303,1270.782,4.195,0.000254217
0.1026,286,1199.3411,4.195,0.000239954
0.1028,313.5,1314.6622,4.195,0.000263026
0.103,314,1316.759,4.195,0.000263446
0.1032,298.5,1251.7598,4.195,0.000250442
0.1034,302,1266.437,4.195,0.000253378
0.1036,315.5,1323.0493,4.195,0.000264705
0.1038,312.5,1310.4688,4.195,0.000262187
0.104,321,1346.1135,4.195,0.000269319
0.1042,321,1346.1135,4.195,0.000269319
0.1044,313.5,1314.6622,4.195,0.000263026
0.1046,316,1325.146,4.195,0.000265124
0.1048,323,1354.5005,4.195,0.000270997
0.105,283.5,1188.5737,4.195,0.000237857
0.1052,307.5,1289.5012,4.195,0.000257992
0.1054,310.5,1302.0818,4.195,0.00026051
